id,title,year,rating,seasons,episodes
1,Breaking Bad,2008,9.5,5,62
2,Planeta Terra II,2016,9.4,1,6
3,Planeta Terra,2006,9.4,1,11
4,Irmãos de Guerra,2002,9.4,1,10
5,Chernobyl,2019,9.3,1,5
6,A Escuta,2002,9.3,5,60
7,Avatar: A Lenda de Aang,2005,9.3,3,62
8,Planeta Azul II,2017,9.3,1,7
9,Família Soprano,1999,9.2,6,86
10,Cosmos: Uma Odisseia do Espaço-Tempo,2014,9.2,1,13
11,Cosmos,1980,9.3,1,13
12,Nosso Planeta,2019,9.2,2,12
13,Game of Thrones,2011,9.2,8,74
14,Bluey,2020,9.3,4,195
15,O Mundo em Guerra,1973,9.2,1,26
16,Fullmetal Alchemist: Brotherhood,2009,9.1,1,68
17,Vida,2009,9.1,1,11
18,Rick e Morty,2013,9.1,12,85
19,Arremesso Final,2020,9.0,1,10
20,Além da Imaginação,1959,9.0,5,156
21,Ataque dos Titãs,2013,9.1,4,98
22,A Guerra do Vietnã,2018,9.1,1,10
23,Sherlock,2010,9.1,4,15
24,Batman: A Série Animada,1992,9.0,4,85
25,Arcane,2021,9.0,2,18
